,AGENT_ID,AGENT_NAME,DATE_OF_JOINING,ADDRESS_LINE1,CITY,POSTAL_CODE,EMP_ROUTING_NUMBER,EMP_ACCT_NUMBER
0,AGENT00001,Salma Fadili,1993-06-05,8 Boulevard Hassan II,Waterbury Center,,34584958,HKUN51252328472585
1,AGENT00002,Othmane Benchikh,2005-12-27,10 Lotissement El Fadl,Essaouira,44000.0,107363763,OPIS19290040088204
2,AGENT00003,Mohammed Amine Barghoud,2003-09-02,3 Residence El Fadl,Rabat,11025.0,81744097,YSCJ67489688482590
3,AGENT00004,Taha El Idrissi,2004-09-23,5 Avenue Al Massira,Essaouira,44000.0,67563771,ZANG21285355574581
4,AGENT00005,Kaoutar Radi,2011-06-21,13 Boulevard Al Massira,Casablanca,20220.0,114951317,DZFS82244494451134
5,AGENT00006,Amine El Idrissi,2000-09-02,7 Hay Al Massira,Tetouan,93000.0,82970527,TIDG93550966796680
6,AGENT00007,Meryem Skalli,1993-10-26,19 Rue Bernoussi,Fes,30000.0,53819552,OVFE89299102977291
7,AGENT00008,Youssef Bennani,2003-11-15,4 Avenue Bernoussi,Essaouira,44000.0,58311521,HOSW68784912234194
8,AGENT00009,Aziza Mansour,2009-12-24,16 Lotissement Al Qods,Tanger,90053.0,66645522,NXRT72066780733033
9,AGENT00010,Hajar Jamal,1992-09-04,10 Avenue Hlioua,Rabat,11025.0,75517997,ADZX82914131196683
10,AGENT00011,Omar Metouali,2002-01-31,3 Hay Hassan II,Tanger,90053.0,28574903,CEIG07819775081568
11,AGENT00012,Taha Oufkir,2010-08-05,9 Avenue Al Massira,Rabat,11025.0,121484709,IQRF67979220911116
12,AGENT00013,Youssef Kibala,2004-06-03,5 Avenue Mohammed V,Safi,46000.0,22235031,OBTC64157859730067
13,AGENT00014,Rania Skalli,2005-02-22,7 Lotissement El Fadl,Safi,46000.0,20663647,FXNK82621091893099
14,AGENT00015,Hajar Barghoud,1998-01-31,19 Boulevard Mohammed V,Noble,,112506777,PEUK68232037630713
15,AGENT00016,Kawtar El Fassi,2001-03-27,5 Lotissement Al Houda,Agadir,80000.0,117354623,FHIJ73978869917642
16,AGENT00017,Youssef Bachri,2003-09-09,5 Rue Zerktouni,Rabat,11025.0,33587927,SXOO45515923150315
17,AGENT00018,Omar Amine,1990-09-30,16 Avenue Salam,Casablanca,20220.0,31655398,LROE33621282470193
18,AGENT00019,Salma Benali,2015-03-03,5 Rue Salam,Meknes,50010.0,36932870,HQBC86092587568338
19,AGENT00020,Omar Fadili,2004-11-07,1 Residence Centrale,Kenitra,14110.0,70571857,CSDO98178213155606
20,AGENT00021,Zineb Radi,1992-08-01,10 Lotissement Hlioua,Hyde Park,,60304500,QBCN62231485753777
21,AGENT00022,Khadija Fadili,1997-01-13,2 Lotissement Salam,Tanger,90053.0,62349783,QESE68363490537237
22,AGENT00023,Khadija Berrada,2009-12-11,2 Boulevard Al Massira,,,50361922,AQEJ74503862345483
23,AGENT00024,Amine Bachri,1991-05-10,13 Hay Zerktouni,Oujda,60010.0,13102173,ZOKM64306961771096
24,AGENT00025,Hiba Eddoughmi,2010-12-08,9 Hay Hassan II,Fes,30000.0,60796891,LJXW49594989067332
25,AGENT00026,Youssef Tahiri,2011-09-23,1 Hay Hassan II,Rabat,11025.0,90344527,OFDO18308945661277
26,AGENT00027,Adam Alaoui,2010-04-20,19 Residence Hlioua,El Jadida,24010.0,28032351,HNDV98515562374050
27,AGENT00028,Omar Tahiri,2012-07-30,15 Lotissement Centrale,Tanger,90053.0,73180915,FMOY86795555984406
28,AGENT00029,Rachida Berrada,1995-04-19,1 Lotissement El Fadl,Fes,30000.0,67567298,YLQJ78001413271998
29,AGENT00030,Khaoula Lahlou,1996-02-21,7 Rue Salam,MideltDakhla,,82810894,NKHZ89593337512392
