,CUSTOMER_ID,CUSTOMER_NAME,SSN,AGE,CUSTOMER_EDUCATION_LEVEL,ADDRESS_LINE1,CITY,POSTAL_CODE,MARITAL_STATUS,NO_OF_FAMILY_MEMBERS,EMPLOYMENT_STATUS,HOUSE_TYPE
0,A00003822,Ahmed Benali,CC950836,54,Bachelor,17 Hay Hlioua,Fes,30000.0,Y,3,Y,Own
1,A00008149,Hassan Tazi,JK252865,61,Bachelor,1 Hay Salam,Agadir,80000.0,N,4,Y,Rent
2,A00003172,Aya Ouazzani,X284474,47,PhD,18 Residence Hassan II,Mograne,,N,6,Y,Rent
3,A00007572,Youssef Skalli,X914881,36,Masters,28 Hay Al Massira,Sidi Slimane,,Y,7,Y,Mortgage
4,A00008173,Fatima Ezzahra  Amrani,SH673365,51,Masters,16 Lotissement Al Houda,Laayoune,70000.0,Y,2,Y,Rent
5,A00003571,Aziza Dadi,CC892988,42,College,44 Lotissement Al Massira,Fes,30000.0,N,2,Y,Rent
6,A00007245,Fatima Ezzahra  Eddoughmi,N358932,61,,12 Lotissement Salam,Essaouira,44000.0,Y,7,Y,Rent
7,A00004301,Hiba Moufkir ,G921912,35,High School,12 Rue Centrale,Kenitra,14110.0,Y,3,Y,Rent
8,A00004671,Kawtar Banoune,DN784910,27,Bachelor,38 Avenue El Fadl,Meknes,50010.0,N,4,Y,Mortgage
9,A00002020,Omar Tazi,BJ898909,61,PhD,28 Avenue El Fadl,Casablanca,20220.0,Y,4,Y,Rent
10,A00007952,Noha Amine,AB335943,59,Masters,35 Avenue Bernoussi,Sale,11000.0,N,7,Y,Mortgage
11,A00006313,Khaoula Radi,EE390770,42,High School,34 Lotissement Mohammed V,Marrakech,40000.0,Y,2,Y,Own
12,A00003693,Hajar Ouazzani,L959790,57,Bachelor,4 Boulevard Mohammed V,Tetouan,93000.0,Y,3,Y,Mortgage
13,A00007988,Rachida Alaoui,G743687,31,High School,48 Lotissement Hassan II,Kenitra,14110.0,N,7,Y,Own
14,A00005617,Fatima Bate,X291177,55,PhD,41 Hay Al Massira,Inezgane,,Y,6,Y,Mortgage
15,A00008033,Omar Amine,KB650475,57,,32 Avenue Zerktouni,Tanger,90053.0,Y,2,Y,Rent
16,A00007184,Aziza Tazi,AB330439,53,Bachelor,35 Residence Salam,Sale,11000.0,Y,5,Y,Mortgage
17,A00007426,Amine Mansar,JK240991,32,Bachelor,33 Residence Al Massira,Agadir,80000.0,Y,4,Y,Mortgage
18,A00009265,Hajar Tahiri,AB962487,45,High School,34 Boulevard Hassan II,Sale,11000.0,N,4,Y,Mortgage
19,A00005314,Hassan El Yousfi,KB315236,59,High School,47 Lotissement Mohammed V,Tanger,90053.0,Y,5,Y,Mortgage
20,A00004720,Aya Bennani,JE629580,51,High School,13 Rue Centrale,Tiznit,85000.0,Y,6,Y,Own
21,A00004728,Rania Barghoud,SA143257,51,Masters,39 Lotissement Hassan II,Nador,62000.0,N,4,Y,Rent
22,A00001482,Omar Amine,M729733,44,Bachelor,2 Lotissement Hlioua,El Jadida,24010.0,N,4,Y,Rent
23,A00001719,Malak Benali,L355137,64,,37 Residence El Fadl,Tetouan,93000.0,Y,7,N,Rent
24,A00000138,Mohammed Amine Bachri,G396181,47,Bachelor,48 Lotissement Hassan II,Kenitra,14110.0,Y,5,Y,Mortgage
25,A00001186,Salma Amrani,Z832717,47,Bachelor,48 Lotissement Salam,Taza,35000.0,Y,5,Y,Mortgage
26,A00006946,Fatima Ezzahra  Fadili,HH164792,26,PhD,7 Lotissement Hlioua,Safi,46000.0,Y,3,Y,Rent
27,A00004112,Rania Farissi,AG560670,57,Masters,31 Lotissement Mohammed V,Rabat,11025.0,Y,3,Y,Own
28,A00004865,Mohamed Skalli,BJ975320,43,Bachelor,17 Hay Al Qods,Casablanca,20220.0,Y,3,N,Own
29,A00002422,Mohamed Moufkir ,EE733656,58,Bachelor,43 Hay Centrale,Marrakech,40000.0,N,4,Y,Own
30,A00003691,Malak Radi,CC103737,25,PhD,31 Rue Centrale,Fes,30000.0,N,7,Y,Rent
31,A00006915,Hamza El Idrissi,X302003,41,Bachelor,44 Boulevard Bernoussi,Ouezzane,,N,4,Y,Rent
32,A00009130,Noha Mansour,KB215419,33,PhD,12 Lotissement El Fadl,Tanger,90053.0,Y,7,Y,Mortgage
33,A00001581,Adam Lahlou,X788313,64,Bachelor,1 Boulevard Al Houda,Tafraout,,N,5,Y,Own
