,CUSTOMER_ID,CUSTOMER_NAME,SSN,AGE,CUSTOMER_EDUCATION_LEVEL,ADDRESS_LINE1,ADDRESS_LINE2,CITY,POSTAL_CODE,MARITAL_STATUS,NO_OF_FAMILY_MEMBERS,EMPLOYMENT_STATUS,HOUSE_TYPE
0,A00003822,Christopher Demarest,087-11-1946,54,Bachelor,7701 West Saint John Road,#2010,Glendale,85308,Y,3,Y,Own
1,A00008149,Ricardo Gatlin,685-33-3536,61,Bachelor,8595 West 81st Drive,,Arvada,80005,N,4,Y,Rent
2,A00003172,Lashawn Engles,378-36-0672,47,PhD,637 Britannia Drive,,Vallejo,94591,N,6,Y,Rent
3,A00007572,Steven Bassett,669-92-1861,36,Masters,2803 River Drive,,Thunderbolt,31404,Y,7,Y,Mortgage
4,A00008173,Jason Rodriguez,703-40-1033,51,Masters,7573 National Drive,,Livermore,94550,Y,2,Y,Rent
5,A00003571,Terrance Han,059-08-4065,42,College,5275 North 59th Avenue,,Glendale,85301,N,2,Y,Rent
6,A00007245,Dennis Johnson,539-25-2348,61,,5119 Marla Drive,,Panama City,32404,Y,7,Y,Rent
7,A00004301,Maryalice Martinez,791-66-5539,35,High School,6 Little Country Place,,Savannah,31406,Y,3,Y,Rent
8,A00004671,Nicholas Hamilton,427-41-7221,27,Bachelor,642 South 2nd Street,#608,Louisville,40202,N,4,Y,Mortgage
9,A00002020,Nicholas Honokaupu,722-69-3392,61,PhD,1914 Stratford Downs Drive,,Montgomery,36117,Y,4,Y,Rent
10,A00007952,Janet Watts,233-66-3524,59,Masters,200 Redwood Road,,Manchester,6040,N,7,Y,Mortgage
11,A00006313,Patricia Garrett,224-80-1633,42,High School,6721 Boundary Run,,Nashville,37221,Y,2,Y,Own
12,A00003693,Lisa Rosario,115-30-1247,57,Bachelor,12870 Old Seward Highway,#STE 000105,Anchorage,99515,Y,3,Y,Mortgage
13,A00007988,Felicita Stoughton,170-28-1062,31,High School,110 Oxford Road,,Savannah,31419,N,7,Y,Own
14,A00005617,David Pennington,519-11-2464,55,PhD,210 Seaman,,McCrory,72101,Y,6,Y,Mortgage
15,A00008033,William Halcomb,142-09-4530,57,,5124 E Street Southeast,,Washington,20019,Y,2,Y,Rent
16,A00007184,Michael Kimball,448-54-0272,53,Bachelor,42 Edison Road,,Manchester,6040,Y,5,Y,Mortgage
17,A00007426,Mark Huang,696-53-5272,32,Bachelor,9545 West 74th Avenue,,Arvada,80005,Y,4,Y,Mortgage
18,A00009265,Marshall Worm,848-09-7847,45,High School,119 Oakland Street,,Manchester,6042,N,4,Y,Mortgage
19,A00005314,Mary Carmona,614-24-5584,59,High School,643 Farragut Street Northwest,,Washington,20011,Y,5,Y,Mortgage
20,A00004720,Stacey Lopez,889-29-6243,51,High School,10 Skyline Way,,Hartford,5001,Y,6,Y,Own
21,A00004728,David Goodman,272-95-9193,51,Masters,1358 Scenic Avenue,R B,Berkeley,94708,N,4,Y,Rent
22,A00001482,Doris Yazzie,258-50-0636,44,Bachelor,17109 Guava Avenue,,Panama City Beach,32413,N,4,Y,Rent
23,A00001719,Matt Mattis,438-64-3416,64,,1040 West 27th Avenue,#APT 000401,Anchorage,99503,Y,7,N,Rent
24,A00000138,Roberto Trudel,119-15-1075,47,Bachelor,110 Oxford Road,,Savannah,31419,Y,5,Y,Mortgage
25,A00001186,Brian Conley,786-93-0182,47,Bachelor,1742 Allerford Drive,,Hanover,21076,Y,5,Y,Mortgage
26,A00006946,Barbara Clouthier,363-11-4142,26,PhD,4329 Howe Street,,Oakland,94611,Y,3,Y,Rent
27,A00004112,Elbert Felix,438-24-0006,57,Masters,780 South Wilmington Avenue,#107,Fayetteville,72701,Y,3,Y,Own
28,A00004865,Ronald Shaver,892-06-1080,43,Bachelor,4339 Oak Street,,Montgomery,36105,Y,3,N,Own
29,A00002422,Lauren Loftin,708-10-7356,58,Bachelor,1536 Rachaels Ridge,,Nashville,37076,N,4,Y,Own
30,A00003691,Mildred Whitten,571-86-2413,25,PhD,6225 West Citrus Way,,Glendale,85301,N,7,Y,Rent
31,A00006915,Alyssa Bowen,324-12-8749,41,Bachelor,57 Bremer Drive,,Glen Burnie,21061,N,4,Y,Rent
32,A00009130,James Hendrickson,121-18-2947,33,PhD,1010 M Street Northwest,,Washington,20001,Y,7,Y,Mortgage
33,A00001581,Brent Lusk,884-70-6944,64,Bachelor,33 Pond Avenue,#804,Brookline,2445,N,5,Y,Own
34,A00007890,Charles Johnson,400-09-6992,26,College,2708 Mabel Street,M,Berkeley,94702,N,2,Y,Mortgage
35,A00003536,Gloria Davis,609-62-9979,30,Masters,8642 Yule Street,,Arvada,80007,Y,3,Y,Mortgage
36,A00008207,Irene Metcalf,528-09-1289,57,Bachelor,105 Ridgecrest Court,,Panama City,32405,Y,4,Y,Rent
37,A00003348,Patsy Cantu,003-13-0404,30,High School,450 C Street,,Hayward,94541,Y,5,Y,Own
38,A00000014,Louis Yang,537-94-6385,26,Masters,10723 Colonial Woods Court,,Louisville,40223,Y,4,Y,Rent
39,A00006283,Albert Wilkie,676-21-8617,62,PhD,25 Church Street,A,Pittsfield,1201,Y,5,Y,Rent
40,A00003499,Paula Davis,240-40-7987,55,High School,3138 P Street Northwest,,Washington,20007,N,5,Y,Mortgage
41,A00008902,Dorothy James,070-72-6085,62,Masters,161 Creek Road,,Middlebury,5753,Y,4,Y,Own
42,A00002740,Wayne Landrum,805-55-1701,57,PhD,123 Elizabeth Drive,,Manchester,6042,Y,3,Y,Rent
43,A00009289,Edward Igtanloc,406-18-6432,32,High School,5038 North Cimarron Drive,,Beverly Hills,34465,N,6,Y,Own
44,A00007672,Cheryl Silva,304-55-2565,39,College,1163 Rosedale Drive,,Montgomery,36107,Y,3,N,Own
45,A00000956,Mary Cotton,457-41-8492,51,High School,5205 West Thunderbird Road,#1042,Glendale,85306,Y,2,Y,Rent
46,A00000134,Harold Garcia,089-20-6131,31,High School,1004 Bellflower Street,,Livermore,94551,N,7,Y,Rent
47,A00006528,Tori Mcbride,600-66-0177,31,High School,2868 Peak Road,,Wheelock,5851,Y,4,Y,Rent
48,A00008607,Bertha Roseman,833-27-9802,56,Bachelor,9912 Shirewick Way,,Louisville,40272,N,5,Y,Mortgage
49,A00004589,Travis Louis,099-80-2815,51,College,6988 West Blackhawk Drive,,Glendale,85308,N,7,Y,Own
50,A00002074,Marion Dollyhigh,342-01-9180,49,PhD,200 Edgewood Way,,Louisville,40243,Y,2,N,Mortgage
51,A00000481,Thomas Lancon,113-92-5138,64,Bachelor,31 Hills Point Road,,Charlotte,5445,Y,7,Y,Own
52,A00009041,Wanda Ellison,690-70-2051,43,College,812 Southwest 151st Street,,Oklahoma City,73170,N,7,Y,Mortgage
53,A00000859,Donald Meehan,256-95-2029,41,Bachelor,10001 Pheasant Lane,,Oklahoma City,73162,Y,7,N,Rent
54,A00000583,Phillip Walker,510-04-6704,46,Bachelor,7030 Cotton Blossom Lane,,Montgomery,36117,Y,3,Y,Rent
